{'.id': '*2CE7BF', 'type': 'A', 'data': '204.152.200.170', 'name': 'ns2.utorrent.com', 'ttl': '14m46s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C0', 'type': 'A', 'data': '208.72.192.178', 'name': 'dns-03.bittorrent.com', 'ttl': '14m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C1', 'type': 'A', 'data': '216.45.48.250', 'name': 'ns1.utorrent.com', 'ttl': '2m41s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C2', 'type': 'A', 'data': '104.21.66.49', 'name': 'sitenable.pw', 'ttl': '4m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C3', 'type': 'A', 'data': '172.67.201.29', 'name': 'sitenable.pw', 'ttl': '4m9s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C4', 'type': 'A', 'data': '172.67.73.7', 'name': 'torrentfreak.com', 'ttl': '4m16s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C5', 'type': 'A', 'data': '104.26.8.68', 'name': 'torrentfreak.com', 'ttl': '4m16s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C6', 'type': 'A', 'data': '104.26.9.68', 'name': 'torrentfreak.com', 'ttl': '4m16s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C7', 'type': 'A', 'data': '18.64.18.96', 'name': 'trontv.com', 'ttl': '2m22s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C8', 'type': 'A', 'data': '18.64.18.70', 'name': 'trontv.com', 'ttl': '2m22s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7C9', 'type': 'A', 'data': '18.64.18.2', 'name': 'trontv.com', 'ttl': '2m22s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7CA', 'type': 'A', 'data': '18.64.18.48', 'name': 'trontv.com', 'ttl': '2m22s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7CB', 'type': 'NS', 'data': 'ns-673.awsdns-20.net', 'name': 'trontv.com', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7CC', 'type': 'NS', 'data': 'ns-69.awsdns-08.com', 'name': 'trontv.com', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7CD', 'type': 'NS', 'data': 'ns-1519.awsdns-61.org', 'name': 'trontv.com', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7CE', 'type': 'NS', 'data': 'ns-1706.awsdns-21.co.uk', 'name': 'trontv.com', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7D0', 'type': 'A', 'data': '111.119.17.193', 'name': 'bittorrent-4.hs.llnwd.net', 'ttl': '0s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7D1', 'type': 'CNAME', 'data': 'bittorrent-4.hs.llnwd.net', 'name': 'video.trontv.com', 'ttl': '2m26s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7D2', 'type': 'A', 'data': '172.67.131.44', 'name': 'www.legittorrents.info', 'ttl': '4m26s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7D3', 'type': 'A', 'data': '104.21.3.204', 'name': 'www.legittorrents.info', 'ttl': '4m26s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
